org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Linie+1+Beruf+B2

	Kapitel 1 Hier arbeite ich
		1 Arbeitsräume
die Klimaanlage; -n | air conditioning | кондиціонер
die erste/zweite Jahreshälfte (Sg.) | first/second half of the year | перша/друга половина року
aufmerksam machen (auf + A.) | draw attention to | звертати увагу на
ausgleichen | balance / compensate | компенсувати
		5 Was beim Lernen hilft
der Einfluss; -e (auf + A.) | influence / impact (on) | вплив
blockieren | block | блокувати
intensiv | intensive | інтенсивний
die Ergebnisse belegen/zeigen | demonstrate / show results | підтверджувати результати
verknüpfen (mit + D.) | link / connect with | пов’язувати з
einschränken | limit / restrict | обмежувати
differenzieren (zwischen + D.) | differentiate (between) | розрізняти
signalisieren | signal | сигналізувати
etwas senken/steigern | decrease / increase something | зменшувати / збільшувати
messbar | measurable | вимірюваний
etwas verursachen | cause something | спричиняти
einen Abschluss nachholen | catch up on a degree | надолужувати освіту / завершувати навчання
sich fühlen, als ob/wenn | feel as if / when | почуватися так, ніби
der Wettkampf; -e | competition | змагання
innerhalb kürzester Zeit | in a very short time | у найкоротші терміни
enorm viel | enormously much | надзвичайно багато
der Nutzen (Sg.) | benefit / advantage | користь
Nutzen ziehen aus | benefit from | отримувати користь від
das Durchhaltevermögen (Sg.) | perseverance | витривалість
das Mitgefühl (Sg.) | compassion / empathy | співчуття
wirken | have an effect / work | діяти
depressiv sein/werden | be / become depressed | бути / ставати депресивним
