org.leo.dictionary.config.entity.ParseWords:fr:en;uk:le+;la+;les+;l%27:%5C%7C:%3B:%3B:%5Ct::Collins+French+3000

	 l'essentiel | the essentials
les sous-vêtements; mpl | underwear | нижня білизна
la cabine d'essayage | fitting room | роздягальня
le portefeuille | wallet | гаманець
le porte-monnaie | purse | гаманець
les bijoux; mpl | jewellery | ювелірні вироби
le parapluie | umbrella | парасолька
la taille | size (clothing) | розмір
la pointure | size (shoe) | розмір взуття
décontracté | casual | повсякденний
élégant | smart | шик
la laine | wool | шерсть
le jean | denim | джинс
le coton | cotton | бавовна

le cuir | leather | шкіра
la soie | silk | шовк
petite taille | petite | маленький розмір
grande taille | plus-size | оверсайз
essayer | to try on | спробувати
être à la bonne taille | to fit | підходити

le bikini | bikini | бікіні
le chemisier | blouse | блузка
le caleçon | boxer shorts | шорти-боксери
le soutien-gorge | bra | бюстгальтер
le gilet | cardigan | кардиган
le manteau | coat | пальто
la robe | dress | плаття
la robe de chambre | dressing gown | халат
la veste | jacket | жакет
le jean | jeans | джинси
le pantalon de survêtement | jogging bottoms | бігові штани
le pull | jumper | светр
les leggings; mpl | leggings | легінси
le slip | pants | труси
le pyjama | pyjamas | піжама
la chemise | shirt | сорочка
le short | shorts | шорти
la jupe | skirt | спідниця
les chaussettes; fpl | socks | шкарпетки
le sweat | sweatshirt | бавовняний спортивний светр
le maillot de bain | swimsuit | купальник
le costume | (three-piece) suit | костюм
la cravate | tie | краватка
les collants; mpl | tights | колготки
le pantalon | trousers | штани
le t-shirt | T-shirt | футболка
l'imperméable; m | waterproof jacket | плащ

la casquette | baseball cap | бейсболка
la ceinture | belt | пояс
le bracelet | bracelet | браслет
les boucles d'oreille; fpl | earrings | сережки
les gants; mpl | gloves | рукавички
le sac à main | handbag | сумочка

le collier | necklace | намисто
le foulard | scarf | шарф
le bonnet | woolly hat | вовняна шапка

les bottes; fpl | boots | чоботи
les talons hauts; mpl | high heels | високі підбори
les chaussures à lacets; fpl | lace-up shoes | взуття на шнурівці
les sandales; fpl | sandals | босоніжки
les pantoufles; fpl | slippers | тапочки
les baskets; fpl | trainers | спортивне взуття

le magasin de bricolage | diy store | будівельний магазин
le bricolage | home improvements | своїми руками
la quincaillerie | hardware shop | обладнання
l'outil; m | tool | інструмент
l'outil électrique; m | power tool | електроінструмент
la boîte à outils | toolbox | ящик для інструментів
l'électricité; f | electricity | електрика
la menuiserie | joinery | столярні вироби
la peinture | painting | картина
la tapisserie | decorating | прикраси
la plomberie | plumbing | сантехніка
faire du bricolage | to do DIY | своїми руками
décorer | to decorate | прикрашати
le burin | chisel | долото
la perceuse électrique | electric drill | дриль
le marteau | hammer | молоток
les clous; mpl | nails | цвяхи
les écrous et boulons; mpl | nuts and bolts | гайки і болти
la peinture | paint | фарба
le pinceau | paintbrush | кисть
le rouleau à peinture | paint roller | малярний валик
la tenaille | pliers | плоскогубці
la scie | saw | пила

le tournevis | screwdriver | викрутка
les vis; fpl | screws | гвинти
la clé | spanner | гайковий ключ
le niveau à bulle | spirit level | рівень
l'escabeau; m | stepladder | драбинка
les carreaux; mpl | tiles | плитка
le papier peint | wallpaper | шпалери
la clé à molette | wrench | гайковий ключ

d'autres magasins | other shops | інші магазини
le magasin d'antiquités | antique shop | антикварний магазин
le barbier | barber's | перукар
le salon de beauté | beauty salon | салон краси
le bookmaker | bookmaker's | букмекерська контора
la librairie | bookshop | книгарня
la boutique | boutique | бутик
la concession automobile | car showroom | автосалон
le magasin caritatif | charity shop | благодійний магазин
le magasin d'électroménager | electrical retailer | магазин електроніки
l'agence immobilière; f | estate agency | офіс нерухомості
le magasin de fleurs | florist's | квітковий магазин
le magasin d'ameublement | furniture store | ринок меблів
la jardinerie | garden centre | садовий центр
le salon de coiffure | hairdresser's | перукар
le magasin d'alimentation bio | health food shop | магазин здорової їжі
la bijouterie | jeweller's | ювелірні вироби
le magasin de musique | music shop | музичний магазин
le débit de boissons | off-licence | магазин вина та спиртних напоїв
l'opticien; m | optician's | оптика
l'animalerie; f | pet shop | зоомагазин
la boutique de téléphonie | phone shop | магазин мобільних телефонів
le magasin de chaussures | shoe shop | взуттєвий магазин
le magasin de jouets | toyshop | магазин іграшок
l'agence de voyage; f | travel agent's | туристичне агентство

	le quotidien | day-to-day
le quotidien | day-to-day | повсякденний
le café au lait | coffee with milk | кава з молоком
la tasse | cup | чашка
l'anse; f | handle | ручка
la soucoupe | saucer | блюдце

le petit-déjeuner | breakfast | сніданок
se réveiller | to wake up | прокидатися
s'habiller | to get dressed | одягатися
arriver | to arrive | прибути
partir | to leave | йди геть
étudier | to study | вивчати; вчити
travailler | to work | працювати
retrouver des amis | to meet friends | зустрітися з друзями
rentrer à la maison | to go home | йди додому
aller se coucher | to go to bed | лягти спати; лягати спати

le bar de cuisine | breakfast bar | бар для сніданку
la tartine de beurre | bread and butter | хліб з маслом
la tartine de confiture | bread and jam | хліб з варенням
tartiner | to spread | поширювати на; розмазувати
prendre le petit déjeuner | to have breakfast | снідати
sauter le petit déjeuner | to skip breakfast | пропустити сніданок

le café | coffee | кава
le café au lait | coffee with milk | кава з молоком
le chocolat chaud | hot chocolate | какао
le lait | milk | молоко
le jus d'orange | orange juice | апельсиновий сік
le thé | tea | чай

la baguette | baguette | багет
les petits pains; mpl | bread rolls | булочки
les céréales; fpl | cereal | сухі сніданки
la pâte à tartiner | chocolate spread | шоколадна паста
le croissant | croissant | круасан
la confiture | jam | варення

le muesli | muesli | крупа
le pain au chocolat | pain au chocolat | шоколадний хліб
la tartine | tartine | скибочка хліба

les repas | main meals | основні страви
la nourriture | food | їжа
la boisson | drink | напій
le déjeuner | lunch | обід
le dîner | dinner | вечеря
les plats; mpl | courses | страви
la recette | recipe | рецепт
l'apéritif; m | aperitif | аперитив
le digestif | digestif; after-dinner drink | дижестив
déjeuner | to have lunch | обідати
dîner | to have dinner | вечеряти
aller au restaurant | to eat out | їсти не вдома

les œufs en cocotte; mpl | baked eggs | запіканка з яєць
le bouillon | broth | бульйон
les viandes froides; fpl | cold meats | сосиски; нарізки
la salade niçoise | Nicoise salad | салат Нісуаз
le pâté | pâté | паштет
la quiche | savoury tart | киш; пікантний пиріг
le saumon fumé | smoked salmon | копчений лосось
le soufflé | soufflé | бісквіт; суфлє
la soupe | soup | суп

les frites; fpl | chips | картопля фрі
les légumes cuits; mpl | cooked vegetables | варені овочі
le couscous | couscous | кус-кус
le gratin | gratin | запіканка
la salade verte | green salad | зелений салат
la salade composée | mixed salad | змішаний салат

les nouilles; fpl | noodles | локшина
les olives; mpl | olives | оливки
les pâtes; fpl | pasta | макарони
les pommes de terre; fpl | potatoes | картопля
les crudités; fpl | raw vegetables | сирі овочі
le riz | rice | рис

le bœuf bourguignon | beef bourguignon | яловичина по-буржинськи
le coq au vin | coq au vin | coq au vin; куряче рагу
le confit de canard | duck confit | конфі з качки
la bouillabaisse | fish soup | буйабес; рибний суп
la soupe à l'oignon | French onion soup | цибулевий суп
les moules marinières; fpl | mussels in white wine | морські мідії; мідії в білому вині
la raie meunière | poached skate | промінь Меньєра; браконьєрський скат
la quiche lorraine | quiche lorraine | киш Лотарингія
la ratatouille | ratatouille | рататуй
le cassoulet | sausage and bean hotpot | касуле; ковбаса і квасоля
les escargots à la bourguignonne; mpl | snails in garlic butter | равлики по-бургундськи; равлики в часниковому маслі
la tarte flambée | tarte flambée | тарт фламбе

la tarte aux pommes | apple tart | яблучний пиріг
le gâteau au chocolat | chocolate cake | шоколадний торт
la mousse au chocolat | chocolate mousse | шоколадний мус
la crème brûlée | crème brûlée | крем брюле
le flan | flan | флан; пиріг
la tarte aux fruits | fruit tart | фруктовий торт
la glace | ice cream | морозиво
la tarte au citron | lemon tart | лимонний пиріг
la meringue | meringue | безе
les profiteroles; fpl | profiteroles | профітролі
le baba au rhum | rum baba | ромова баба
le sorbet | sorbet | сорбет

manger au restaurant | eating out | їсти на свіжому повітрі
le menu | set menu | меню дня
les plats du jour; mpl | daily specials | щоденні пропозиції
le service | service charge | сервіс
le pourboire | tip | чайові
le sommelier | wine waiter | винний офіціант
la sommelière | wine waiter | винний офіціант
végétarien | vegetarian | вегетаріанський
végétalien | vegan | веганський
sans gluten | gluten-free | не містить глютену
sans produits laitiers | dairy-free | немолочні
commander | to order | замовити
demander l'addition | to ask for the bill | попросити рахунок
être servi | to be served | обслуговуватися
le bar | bar | бар
la note | bill | рахунок
la corbeille à pain | bread basket | хлібний кошик
la chaise | chair | стілець
la flûte à champagne | champagne flute | флейта шампанського; келих для шампанського
le couteau à fromage | cheese knife | ніж для сиру
le couteau à poisson | fish knife | рибний ніж
la carafe d'eau | jug of water | глечик з водою
la carte | menu | меню
la serviette | napkin | серветка
du sel et du poivre | salt and pepper | сіль і перець
le couteau à viande | steak knife | ніж для стейка
la table | table | стіл
la nappe | tablecloth | скатертина
les cure-dents; mpl | toothpicks | зубочистки
du vinaigre et de l'huile | vinegar and oil | оцет і олія
le serveur | waiter / waitress | офіціант
la serveuse | waiter / waitress | офіціант
le verre à vin | wine glass | келих для вина

le fast-food | fast food | фастфуд
la chaîne de fastfood | fast-food chain | мережа швидкого харчування
le stand de nourriture | food stall | заклад швидкого харчування
la cuisine de rue | street food | вулична їжа
le vendeur | vendor | продавець
la vendeuse | vendor | продавець
le drive-in | drive-thru | автокафе
un plat à emporter | an order to go; a takeaway | забрати з собою
les frais de livraison; mpl | delivery charge | вартість доставки
le livreur | delivery man / woman | кур'єр
la livreuse | delivery man / woman | кур'єр
passer commande par téléphone | to phone in an order | зробити замовлення по телефону
passer commande | to place an order | замовити
récupérer des plats | to collect an order | забрати замовлення
le hamburger | burger | гамбургер
le sandwich | filled baguette | бутерброд
les frites; fpl | fries | картопля фрі
le hot dog | hot dog | хот-дог
la brochette | kebab | кебабхот-дог
l'omelette; f | omelette | омлет
les crêpes; mpl | pancakes | млинці
la pizza | pizza | піца
le sandwich | sandwich | бутерброд
le sushi | sushi | суші
le croque-monsieur | toasted ham and cheese sandwich | крок-месьє; бутерброд із підсмаженою шинкою та сиром
le wrap | wrap | обгортка

la communication et l'informatique | communication and IT | комунікаційно-інформаційні технології
le post | post | пост
les réseaux sociaux; mpl | social media | соціальні мережі
l'e-mail; m | email | електронна пошта
l'adresse électronique; f | email address | адреса електронної пошти
l'internet; m | internet | інтернет
le wifi | WiFi | WiFi
le site web | website | веб-сайт
le lien | link | посилання
l'icône; f | icon | значок
la souris | mouse | миша
le tapis de souris | mouse mat | килимок для миші
le clavier | keyboard | клавіатура
l'appli; f | app | додаток
les données mobiles; fpl | data | дані
le téléphone portable | mobile phone | телефон
la ligne fixe | landline | стаціонарний телефон
le SMS | text message | текстове повідомлення
le signal de téléphonie mobile | phone signal | сигнал мобільного телефону
le message vocal | voice mail | голосова пошта
l'écran tactile; m | touchscreen | сенсорний екран
l'écran; m | screen | екран
le bouton | button | кнопка
la batterie | battery | акумулятор
le câble | cable | кабель
passer un appel | to make a phone call | подзвонити
poster (en ligne) | to post (online) | опублікувати
télécharger | to download; to upload | скачати; завантажити
charger son portable | to charge your phone | зарядити мобільний
allumer | to switch on | увімкнути
éteindre | to switch off | вимкнути
cliquer sur | to click on | натиснути
le chargeur | charger | зарядний пристрій
l'ordinateur; m | computer | комп'ютер
la carte SIM | SIM card | SIM-картка
le smartphone | smartphone | смартфон
la tablette | tablet | планшет
le routeur sans fil | wireless router | роутер WiFi

l'éducation | education | освіта
l'école maternelle; f | nursery school | дошкільний заклад
l'école primaire; f | primary school | початкова школа
le collège | middle school | середня школа
le lycée | high school | вища школа
l'enseignement supérieur; m | higher education | вища освіта
l'université; f | university | університет
l'élève; m | pupil | студент
l'élève; f | pupil | студент
le professeur | teacher | викладач; учитель
la professeure | teacher | викладач; учитель
le principal | headteacher | директор
la principale | headteacher | директор
la salle de classe | classroom | клас
le concierge | janitor | прибиральник
la concierge | janitor | прибиральник
l'emploi du temps; m | timetable | розклад
la leçon | lesson | урок
le cours | lecture | лекція
le didacticiel | tutorial | підручник
les devoirs; mpl | homework | домашня робота
l'examen; m | exam | екзамен
le diplôme (universitaire) | degree | диплом; ступінь
l'étudiant en premier cycle; m | undergraduate | студент
l'étudiante en premier cycle; f | undergraduate | студент
l'étudiant en troisième cycle; m | postgraduate | випускник
l'étudiante en troisième cycle; f | postgraduate | випускник
la cantine | canteen | їдальня
le terrain de jeu | playing field | ігровий майданчик
la résidence universitaire | halls of residence | студентські гуртожитки
le foyer des étudiants | student union | студентська спілка
la carte d'étudiant | student card | студентський квиток
apprendre | to learn | вчити
enseigner | to teach | навчати
réviser | to revise | повторювати
passer un examen | to sit an exam | здавати екзамен
obtenir son diplôme | to graduate | закінчити
étudier | to study | вивчати; вчити

les crayons de couleur; mpl | colouring pencils | кольорові олівці
la gomme | eraser | гумка
le cahier de cours | exercise book | журнал
le papier | paper | папір
le stylo | pen | кулькова ручка
le crayon | pencil | олівець
la trousse | pencil case | пенал
la règle | ruler | лінійка
le cartable | schoolbag | портфель
le taille-crayon | sharpener | точилка
le manuel | textbook | підручник
le tableau blanc | whiteboard | біла дошка

la cafétéria | cafeteria | кафетерій
le campus | campus | кампус
l'amphithéâtre; m | lecture hall | лекційна зала
le professeur | lecturer | викладач
la professeure d'université | lecturer | викладач
la bibliothèque | library | бібліотека
l'étudiant; m | student | студент
l'étudiante; f | student | студент

le bureau | the office | в офісі
le gérant | manager | керівник
la gérante | manager | керівник
le personnel | staff | співробітники
le collègue | colleague | колега
la collègue | colleague | колега
le client | client | клієнт
la cliente | client | клієнт
les ressources humaines; fpl | human resources | людські ресурси
la comptabilité | accounts | бухгалтерський облік
les chiffres; mpl | figures | цифри
la feuille de calcul | spreadsheet | електронна таблиця
la présentation | presentation | презентація

le rapport | report | звіт
la réunion | meeting | зустріч
la conférence téléphonique | conference call | конференц-дзвінок
la visioconférence | video conference | відеоконференція
la cartouche d'encre | ink cartridge | чорнильний картридж
la boîte de réception | inbox | вхідні
le fichier | file | файл
la pièce jointe | attachment | вкладення
le nom d'utilisateur | username | ім'я користувача
le mot de passe | password | пароль
taper | to type | набирати текст
se connecter / fermer la session | to log on / off | увійти / вийти
faire une présentation | to give a presentation | виступити з презентацією
tenir une réunion | to hold a meeting | скликати зустріч
tomber en panne | to crash | зламатися
la calculatrice | calculator | калькулятор
le bureau | desk | стіл
la lampe de bureau | desk lamp | настільна лампа
le classeur | filing cabinet | шафа для документів
la chemise | folder | папка
la perforatrice | hole punch | дірокол
la corbeille à courrier | in / out tray | лоток для входів / виходів
l'ordinateur portable; m | laptop | ноутбук
le bloc-notes | notepad | блокнот
le trombone | paper clip | скоба
la photocopieuse | photocopier | ксерокс
l'imprimante; f | printer | принтер
le classeur | ring binder | папка-кільце
le scanner | scanner | сканер
les ciseaux; mpl | scissors | ножиці
l'agrafeuse; f | stapler | файл
les post-it®; mpl | sticky notes | наклейки
le scotch® | sticky tape | стрічка
le fauteuil pivotant | swivel chair | поворотне крісло
le téléphone | telephone | телефон
la clé USB | USB stick | USB-накопичувач

la banque | the bank | банк
l'agence; f | branch | відділення; гілка
le guichetier | cashier | касир
la guichetière | cashier | касир
les services bancaires en ligne; mpl | online banking | онлайн-банкінг
le compte en banque | bank account | банківський рахунок
le compte courant | current account | поточний рахунок
le compte d'épargne | savings account | ощадний рахунок
le numéro de compte | account number | номер рахунку
le relevé de compte | bank statement | виписка з рахунку
le solde | bank balance | баланс рахунку
le découvert | overdraft | овердрафт рахунку
le virement bancaire | bank transfer | банківський переказ
le carnet de chèques | chequebook | чекова книжка
la devise | currency | валюта
le prêt | loan | кредит
le prêt immobilier | mortgage | іпотека
les intérêts; mpl | interest | процентні ставки
emprunter | to borrow | взяти кредит
rembourser | to repay | погасити
retirer | to withdraw | зняти
verser de l'argent sur un compte | to make a deposit | зробити депозит
changer de l'argent | to change money | міняти гроші
le distributeur de billets | ATM | банкомат
les billets de banque; mpl | banknotes | банкноти
le bureau de change | bureau de change | обмінний пункт
la carte de paiement / de crédit | debit / credit card | банківська карта / кредитна картка
le taux de change | exchange rate | обмінний курс
le coffre-fort | safety deposit box | сейф

la poste | the post office | на пошті
l'adresse; f | address | адреса
la lettre prioritaire | first-class | перший клас; пріоритет
la lettre écopli | second-class | за замовчуванням

la lettre verte | green letter | зелений лист
le coursier | courier | кур'єр
le courrier | mail | пошта
la poste aérienne | airmail | авіапошта
poster | to post | кидати
envoyer | to send | відправити
la boîte | box | коробка
l'enveloppe; f | envelope | конверт
la lettre | letter | лист
le colis | package | пакунок
l'enveloppe à bulles; f | padded envelope | бульбашковий мішок
le facteur | postal worker | поштовий працівник
la factrice | postal worker | поштовий працівник
la boîte aux lettres | postbox | поштова скринька
la carte postale | postcard | листівка
le timbre | stamp | штамп

en ville | in town | в місті
le café | café | кафе
la cathédrale | cathedral | собор
l'église; f | church | церква
le palais des congrès | conference centre | конференц-центр
le tribunal | courthouse | будівля суду
la caserne de pompiers | fire station | пожежна частина
la fontaine | fountain | фонтан
l'hôpital; m | hospital | лікарня
l'hôtel; m | hotel | готель; в готелі
la laverie | laundrette | пральня
la bibliothèque | library | бібліотека
la mosquée | mosque | мечеть
l'immeuble de bureaux; m | office block | офісна будівля
le parc | park | парк
l'aire de jeux; f | playground | шкільне подвір'я; дитячий майданчик
le commissariat | police station | поліцейська дільниця
la synagogue | synagogue | синагога
la mairie | town hall | ратуша

	les loisirs | leisure
les loisirs | leisure | у вільний час
la tente | tent | намет
le double toit | flysheet | дощовик
le tapis de sol | groundsheet | підлога намету
la corde de tente | guy rope | наметова мотузка
le piquet | tent peg | кілок для намету

les vacances; fpl | holiday | канікули
le temps libre | spare time | вільний час
l'activité; f | activity | діяльність
le passe-temps | hobby; pastime | хобі
amusant | fun | весело
ennuyeux | boring | нудно
s'intéresser à | to be interested in | бути зацікавленим у; цікавитися
être passionné par | to be keen on | захоплюватися
passer le temps | to pass the time | провести час
se détendre | to relax | відпочивати
apprécier | to enjoy | насолоджуватися
s'ennuyer | to be bored | нудьгувати
la cuisine | cooking | приготування їжі
le bricolage | DIY | своїми руками
les jeux vidéo; mpl | gaming | грати в відео-ігри
le jardinage | gardening | садівництво
le jogging | jogging | пробіжка
écouter de la musique | listening to music | слухати музику
la lecture | reading | читання
le shopping | shopping | покупки
le sport | sports | спорт
le voyage | travelling | подорожі
la marche | walking | біг; прогулянка
regarder la télévision / des films | watching TV / films | дивитися телевізор / фільми

le tourisme | sightseeing | огляд пам'яток
le touriste | tourist | турист
la touriste | tourist | турист
l'attraction touristique; f | tourist attraction | туристична привабливість
l'excursion; f | excursion | екскурсія

la réserve naturelle | nature reserve | природний заповідник
le site historique | historic site | історичне місце
la visite guidée | guided tour | тур
l'audio-guide; m | audio guide | аудіогід
visiter | to visit | відвідати
voir | to see | побачити; бачити
la galerie d'art | art gallery | художня галерея
l'appareil photo; m | camera | камера
le château | castle | замок
la cathédrale | cathedral | собор
le plan du centre-ville | city map | карта міста
le jardin public | gardens | сад
le guide | guidebook | путівник
le monument | monument | пам'ятник
le musée | museum | музей
le bus touristique | sightseeing bus | екскурсійний автобус
le guide touristique | tour guide | гід
la guide touristique | tour guide | гід
l'office de tourisme; m | tourist office | туристичний офіс

en soirée | evenings out | виходити
un verre | a drink | напій
la vie nocturne | nightlife | нічне життя
la fête | party | вечірка
le spectacle | show | шоу
la pièce | play | вистава
le film | film | фільм
le festival | festival | фестиваль
la billetterie | box office | касовий апарат
rencontrer des gens | to socialize | спілкуватися
s'amuser | to enjoy oneself | насолоджуватися
voir un spectacle | to see a show | подивитися шоу
regarder un film | to watch a film | дивитися фільм
aller danser | to go dancing | іди танцювати
commander à manger / au bar | to order food / drinks | замовити їжу / напої

le ballet | ballet | балет
le bar | bar | бар
le carnaval | carnival | карнавал
le casino | casino | казино
le cinéma | cinema | кіно
le spectacle comique | comedy show | комедійне шоу
le concert | concert | концерт
la fête foraine | funfair | ярмарок
la comédie musicale | musical | мюзикл
la boîte de nuit | nightclub | нічний клуб
l'opéra; m | opera | опера
le restaurant | restaurant | ресторан
le théâtre | theatre | театр

l'hôtel | hotel | в готелі
la chambre d'hôte | bed and breakfast | ліжко та сніданок
la pension complète | full board | повний пансіон
la demi-pension | half board | напівпансіон
le room service | room service | обслуговування номерів
le réveil par téléphone | wake-up call | дзвінок для пробудження
le numéro de chambre | room number | номер кімнати
par personne et par nuit | per person per night | з особи за ніч
s'enregistrer | to check in | зареєструватися
régler sa note | to check out | виписуватись
commander quelque chose au room service | to order room service | замовити обслуговування номерів
le couloir | corridor | коридор
le panneau "prière de ne pas déranger" | "do not disturb" sign | знак «Не турбувати»
la chambre pour deux personnes | double room | двомісний номер
la carte magnétique | key card | ключ картка
le minibar | minibar | міні-бар
le bagagiste | porter | носильник
la bagagiste | porter | носильник

la réception | reception | приймальня
le réceptionniste | receptionist | реєстратор
la réceptionniste | receptionist | реєстратор
le coffre-fort | safe | сейф
la chambre pour une personne | single room | одномісний номер
les affaires de toilette; fpl | toiletries | туалетні приналежності
la chambre à deux lits | twin room | кімната з двома односпальними ліжками

le camping | camping | кемпінг
le camping | campsite | кемпінг
le chalet | chalet | котедж
la colonie de vacances | summer camp | літній табір
l'emplacement; m | pitch | місце
le branchement électrique | electricity hook-up | підключення живлення
le bloc sanitaire | toilet; shower block | санблок
le campeur | camper | кемпер
la campeuse | camper | кемпер
la personne en caravane | caravanner | людина в каравані
camper | to camp | кемпінг
monter une tente | to pitch a tent | встановити намет
démonter une tente | to take down a tent | зняти намет
partir en caravane | to go caravanning | їхати караваном
le matelas pneumatique | air bed | надувний матрац
le réchaud de camping | camping stove | похідна піч
la caravane | caravan | караван
la glacière | cool box | охолоджувальний ящик
les allumettes; fpl | matches | сірники
le camping-car | motorhome | будинок на колесах; кемпер
le sac de couchage | sleeping bag | спальний мішок
la tente | tent | намет
la lampe torche | torch | ліхтарик

la plage | the beach | на пляжі
"Baignade interdite" | "No swimming" | "Купатися заборонено"
la zone de baignade | bathing zone | зона купання
le poste de secours | lifeguard post | пункт першої допомоги
le bronzage | suntan | засмага
prendre un bain de soleil | to sunbathe | засмагати
nager | to swim | плавати

le sable | sand | пісок
la mer | sea | море
les vagues | waves | хвилі
le parasol | parasol | парасолька
la chaise longue | sunbed | шезлонг
la serviette de plage | beach towel | пляжний рушник

le ballon de plage | beach ball | водне поло
la cabine de plage | beach hut | будинок на пляжі
le bikini | bikini | бікіні
le seau et la pelle | bucket and spade | відро і лопата
le transat | deckchair | шезлонг
les tongs; fpl | flip-flops | шльопанці
les palmes; fpl | flippers | ласти
la promenade | promenade | набережна
le château de sable | sandcastle | піщаний замок
les coquillages; mpl | seashells | мідії
l'algue; f | seaweed | водорості
le tuba | snorkel | трубка
les lunettes de soleil; fpl | sunglasses | сонцезахисні окуляри
le chapeau de soleil | sunhat | сонячний капелюх
la crème solaire | suntan lotion | сонцезахисний крем
le short de bain | swimming trunks | плавки
le maillot de bain | swimsuit | купальник
le brise-vent | windbreak | захист від вітру

la musique | music | музика
la chanson | song | пісня
l'album; m | album | альбом
le groupe | band; backing group | група
le concert | live music; gig | концерт
le chanteur auteur compositeur | singer-songwriter | автор пісень
la chanteuse auteur compositrice | singer-songwriter | автор пісень
le DJ | DJ | діджей
la DJ | DJ | діджей
le CD | CD | компакт-диск
le disque vinyle | vinyl record | запис
le microphone | microphone | мікрофон
la pop | pop | поп
le rock | rock | рок
le hip hop | hip-hop | хіп-хоп
le rap | rap | реп
classique | classical | класичний
folk | folk | народний
électronique | electronic | електроніка
jouer d'un instrument | to play an instrument | грати на інструменті
chanter | to sing | співати
écouter de la musique | to listen to music | слухати музику
aller à des concerts | to go to gigs | ходити на концерти
écouter de la musique en streaming | to stream music | слухати потокову музику

l'enceinte Bluetooth®; f | Bluetooth® speaker | динамік Bluetooth
les écouteurs; mpl | earphones | навушники
le casque | headphones | навушники
la barre de son | soundbar | звукова панель
les haut-parleurs; mpl | speakers | колонки
la platine | turntable | програвач

l'accordéon; m | accordion | акордеон
la guitare acoustique | acoustic guitar | акустична гітара
la grosse caisse | bass drum | бас-барабан

la guitare basse | bass guitar | бас-гітара
le violoncelle | cello | віолончель
la clarinette | clarinet | кларнет
les cymbales; fpl | cymbals | цимбали
la contrebasse | double bass | контрабас
la guitare électrique | electric guitar | електрогітара
la flûte | flute | флейта
la harpe | harp | арфа
le clavier | keyboard | клавіатура
l'harmonica; m | mouth organ | гармоніка
le piano | piano | фортепіано
le saxophone | saxophone | саксофон
la caisse claire | snare drum | малий барабан
le trombone | trombone | тромбон
la trompette | trumpet | труба
le tuba | tuba | туба
le violon | violin | скрипка
le xylophone | xylophone | ксилофон

la chorale | choir | хор
le chef d'orchestre | conductor | диригент
la chef d'orchestre | conductor | диригент
le musicien | musician | музикант
la musicienne | musician | музикант
l'orchestre; m | orchestra | оркестр
la partition | sheet music | ноти
le chanteur | singer | співак / співачка
la chanteuse | singer | співак / співачка

la photographie | photography | фотографія
le photographe | photographer | фотограф
la photographe | photographer | фотограф
la photo | photo | фотографія
le selfie | selfie | селфі
la perche à selfie | selfie stick | палка для селфі
prendre une photo / un selfie | to take a photo / selfie | зробити фото / селфі
zoomer | to zoom in | збільшувати

l'objectif photo; m | camera lens | об'єктив камери
l'appareil photo compact; m | compact camera | компактна камера
le drone | drone | дрон
l'appareil photo reflex numérique; m | DSLR camera | камера DSLR
la carte SD | SD card | карта пам'яті
le trépied | tripod | штатив

les jeux | games | ігри
le joueur | player | гравець
la joueuse | player | гравець
les charades; fpl | charades | шаради
le cache-cache | hide and seek | гра в хованки
le solitaire | solitaire | пасьянс
le poker | poker | покер
le jeu | hand (in cards) | рука (в картах)
le jeu vidéo | video game | відеогра
la console de jeux | games console | ігрова приставка
la manette de jeu | game controller | геймпад
le joystick | joystick | джойстик
la casque de réalité virtuelle | virtual reality headset | гарнітура віртуальної реальності
les mots croisés; mpl | crossword | кросворд
le sudoku | sudoku | судоку
le jeu de quilles | skittles | боулінг
jouer | to play | грати
jeter les dés | to roll the dice | кинути кістки
gagner | to win | виграти
perdre | to lose | втрачати
le backgammon | backgammon | нарди
le jeu de société | board game | настільна гра
le bowling | bowling | боулінг
les cartes; fpl | cards | карти
les échecs; mpl | chess | шахи
les pions; mpl | counters | ігрові фігури
les fléchettes; fpl | darts | дартс
le dé | dice | гра в кості
les dominos; mpl | dominoes | гра в доміно
les dames; fpl | draughts | шашки
le puzzle | jigsaw puzzle | головоломка
la pétanque | petanque | петанк

les travaux manuels | arts and crafts | мистецтво і ремесла
les objets artisanaux; mpl | handicrafts | ремесло
l'exposition-vente d'artisanat; f | craft fair | ярмарок ремесел
l'artiste; m | artist | артист
l'artiste; f | artist | артист
l'amateur; m | amateur | любитель
l'amatrice; f | amateur | любитель
le couturier | dressmaker | кравець / кравчиня
la couturière | dressmaker | кравець / кравчиня
peindre | to paint | малювати
esquisser | to sketch | ескіз
coudre | to sew | шити
tricoter | to knit | в'язати
être créatif | to be creative | бути креативним

la broderie | embroidery | вишивка
fabriquer des bijoux | jewellery-making | виготовлення ювелірних виробів
le modélisme | model-making | моделювання
la création en papier | papercrafts | вироби з паперу
la poterie | pottery | кераміка
la menuiserie | woodwork | вироби з дерева

la toile | canvas | полотно
le chevalet | easel | мольберт
l'encre; f | ink | чорнило
la peinture à l'huile | oil paint | олійна фарба
le pinceau | paintbrush | кисть
la palette | palette | палітра
le papier | paper | папір
les pastels; mpl | pastels | пастельні тони
le stylo | pen | кулькова ручка
le crayon | pencil | олівець
le carnet de croquis | sketchpad | етюдник
les couleurs pour aquarelle; fpl | watercolours | акварелі

la pelote de laine | ball of wool | клубок вовни
les boutons; mpl | buttons | ґудзики
